dataset,step,label,n_episodes,episode,seed,success,progress_pct,stage_reached,stage_index,failure_mode,ever_reached,ever_grasped,ever_lifted,ever_hovered,r_reach_max,r_grasp_max,r_lift_max,r_hover_max,max_staged_reward,init_gripper_to_can,min_gripper_to_can,reach_closure_frac,init_can_to_bin_xy,min_can_to_bin_xy,bin_closure_frac,max_can_height_gain,max_can_displacement,can_fell_off,steps,step_first_reach,step_first_grasp,step_first_lift,step_first_hover,step_first_success,eef_path_length,eef_net_displacement,path_efficiency,action_abs_mean,action_abs_max,action_saturation_frac,action_jerk_mean,gripper_cmd_mean,gripper_closed_frac,gripper_switches,best_shaped_reward
mh,250,k1_mh_250,30,14,100014,False,8.15,none,0,never_reached_cube,False,False,False,False,0.2717,0.0,0.0,0.0,0.2717,0.1895,0.0925,0.5118,,,,0.0,0.0127,False,150,,,,,,0.8395,0.2744,0.3269,0.2668,1.0,0.081,0.3036,-0.1372,0.42,57,0.1207
mh,250,k1_mh_250,30,15,100015,True,100.0,success,4,none_success,True,True,True,True,0.9043,0.25,1.0,0.0,1.0,0.2123,0.0096,0.9548,,,,0.0097,0.0253,False,97,44,86,86,97,,0.4677,0.234,0.5002,0.2728,1.0,0.0869,0.3056,-0.4246,0.268,28,1.0
mh,250,k1_mh_250,30,16,100016,False,19.27,reach,1,reached_but_no_grasp,True,False,False,False,0.6424,0.0,0.0,0.0,0.6424,0.2127,0.0374,0.8241,,,,0.0,0.0183,False,150,37,,,,,0.7989,0.2571,0.3218,0.2799,1.0,0.0848,0.3,0.05,0.5333,43,0.2855
mh,250,k1_mh_250,30,17,100017,True,100.0,success,4,none_success,True,True,True,True,0.9399,0.25,1.0,0.0,1.0,0.2207,0.006,0.9727,,,,0.0114,0.0154,False,87,38,82,82,87,,0.4754,0.2208,0.4645,0.2767,1.0,0.0788,0.285,-0.4602,0.2414,24,1.0
mh,250,k1_mh_250,30,18,100018,False,15.39,reach,1,reached_but_no_grasp,True,False,False,False,0.5131,0.0,0.0,0.0,0.5131,0.2151,0.0532,0.7527,,,,0.0,0.0127,False,150,38,,,,,0.7614,0.2661,0.3495,0.2596,1.0,0.0705,0.3193,-0.0712,0.4333,64,0.228
mh,250,k1_mh_250,30,19,100019,False,11.14,reach,1,reached_but_no_grasp,True,False,False,False,0.3714,0.0,0.0,0.0,0.3714,0.1893,0.0739,0.6096,,,,0.0,0.0127,False,150,32,,,,,0.8093,0.2727,0.3369,0.272,1.0,0.08,0.3136,-0.1398,0.4,53,0.1651
mh,250,k1_mh_250,30,20,100020,False,3.6,none,0,never_reached_cube,False,False,False,False,0.1201,0.0,0.0,0.0,0.1201,0.2094,0.1375,0.3434,,,,0.0,0.0127,False,150,,,,,,0.8922,0.2734,0.3064,0.2854,1.0,0.0905,0.3026,-0.2973,0.34,47,0.0534
mh,250,k1_mh_250,30,21,100021,False,5.36,none,0,never_reached_cube,False,False,False,False,0.1787,0.0,0.0,0.0,0.1787,0.199,0.1161,0.4167,,,,0.0,0.0127,False,150,,,,,,0.824,0.3095,0.3756,0.2694,1.0,0.0848,0.3006,-0.2598,0.3733,43,0.0794
mh,250,k1_mh_250,30,22,100022,False,28.43,reach,1,reached_but_no_grasp,True,False,False,False,0.9476,0.0,0.0,0.0,0.9476,0.2159,0.0052,0.9757,,,,0.0,0.0127,False,150,29,,,,,0.8252,0.2578,0.3124,0.2724,1.0,0.0781,0.3106,-0.347,0.3067,54,0.4212
mh,250,k1_mh_250,30,23,100023,True,100.0,success,4,none_success,True,True,True,True,0.9007,0.25,1.0,0.0,1.0,0.2055,0.01,0.9515,,,,0.0098,0.0319,False,116,31,91,91,116,,0.5558,0.2128,0.3828,0.273,1.0,0.0862,0.2912,-0.3643,0.3103,38,1.0
mh,250,k1_mh_250,30,24,100024,False,22.46,reach,1,reached_but_no_grasp,True,False,False,False,0.7486,0.0,0.0,0.0,0.7486,0.2258,0.0257,0.8862,,,,0.0,0.019,False,150,31,,,,,0.8399,0.2852,0.3395,0.2719,1.0,0.0695,0.2884,-0.2469,0.3667,67,0.3327
mh,250,k1_mh_250,30,25,100025,False,22.0,reach,1,reached_but_no_grasp,True,False,False,False,0.7334,0.0,0.0,0.0,0.7334,0.2069,0.0273,0.868,,,,0.0,0.014,False,150,39,,,,,0.8474,0.2778,0.3278,0.2709,1.0,0.0886,0.3157,-0.1092,0.4133,63,0.3259
mh,250,k1_mh_250,30,26,100026,True,100.0,success,4,none_success,True,True,True,True,0.9312,0.25,1.0,0.0,1.0,0.1984,0.0069,0.9653,,,,0.0119,0.0128,False,79,35,72,72,79,,0.3868,0.2054,0.5311,0.2574,1.0,0.0741,0.2629,-0.4786,0.2405,23,1.0
mh,250,k1_mh_250,30,27,100027,False,7.66,none,0,never_reached_cube,False,False,False,False,0.2553,0.0,0.0,0.0,0.2553,0.2147,0.0961,0.5526,,,,0.0,0.0127,False,150,,,,,,0.811,0.2799,0.3451,0.2637,1.0,0.0705,0.3173,-0.2071,0.34,55,0.1135
mh,250,k1_mh_250,30,28,100028,False,26.8,reach,1,reached_but_no_grasp,True,False,False,False,0.8933,0.0,0.0,0.0,0.8933,0.2292,0.0107,0.9533,,,,0.0,0.0362,False,150,39,,,,,0.8288,0.2697,0.3254,0.2635,1.0,0.0733,0.3157,-0.1287,0.4267,52,0.397
mh,250,k1_mh_250,30,29,100029,False,4.68,none,0,never_reached_cube,False,False,False,False,0.156,0.0,0.0,0.0,0.156,0.2004,0.1235,0.384,,,,0.0,0.0127,False,150,,,,,,0.8364,0.3117,0.3727,0.2682,1.0,0.0848,0.2899,-0.2517,0.3933,47,0.0694
mh,500,k1_mh_500,30,0,100000,False,1.92,none,0,never_reached_cube,False,False,False,False,0.0639,0.0,0.0,0.0,0.0639,0.203,0.1706,0.1598,,,,0.0,0.0127,False,150,,,,,,0.8266,0.2956,0.3576,0.2655,1.0,0.0743,0.297,-0.4709,0.22,51,0.0284
mh,500,k1_mh_500,30,1,100001,False,7.23,none,0,never_reached_cube,False,False,False,False,0.2411,0.0,0.0,0.0,0.2411,0.1951,0.0994,0.4907,,,,0.0,0.0127,False,150,,,,,,0.8151,0.2886,0.3541,0.2735,1.0,0.0905,0.3051,-0.4848,0.2133,45,0.1072
mh,500,k1_mh_500,30,2,100002,False,8.37,none,0,never_reached_cube,False,False,False,False,0.279,0.0,0.0,0.0,0.279,0.198,0.091,0.5405,,,,0.0,0.0127,False,150,,,,,,0.8026,0.2762,0.3441,0.2638,1.0,0.0714,0.2948,-0.3729,0.2867,49,0.124
mh,500,k1_mh_500,30,3,100003,False,13.75,reach,1,reached_but_no_grasp,True,False,False,False,0.4584,0.0,0.0,0.0,0.4584,0.2195,0.0606,0.7237,,,,0.0,0.0127,False,150,69,,,,,0.7894,0.3254,0.4122,0.2687,1.0,0.0771,0.3124,-0.3245,0.3133,58,0.2037
mh,500,k1_mh_500,30,4,100004,False,7.23,none,0,never_reached_cube,False,False,False,False,0.2409,0.0,0.0,0.0,0.2409,0.2024,0.0994,0.5088,,,,0.0,0.0127,False,150,,,,,,0.8018,0.2757,0.3438,0.2612,1.0,0.0695,0.3,-0.2102,0.3533,49,0.107
